,a01,stime_h_xxa,stime_m_xxa,res_id_xxa,consent_xxa,xxa_slno,xxa_pid,xxa_mid,xxa_01,xxa_02,xxa_03,xxa_04,xxa_05,xxa_06,xxa_07,xxa_08,xxa_09,xxa_10,xxa_11,xxa_12,xxa_13,xxa_14,xxa_15a,xxa_15b,xxa_15c,xxa_16,xxa_17a,xxa_17b,xxa_17c,xxa_18a,xxa_18b,xxa_18c,etime_h_xxa,etime_m_xxa,flag,hhid2,hh_type,round
0,1.0,9.0,24.0,2.0,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,1,BIHS households,Round 3 (2018-19)
1,2.0,14.0,5.0,2.0,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,2,BIHS households,Round 3 (2018-19)
2,3.1,9.0,11.0,2.0,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,3.1,BIHS households,Round 3 (2018-19)
3,3.2,9.0,49.0,4.0,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,3.2,BIHS households,Round 3 (2018-19)
4,4.0,9.0,38.0,5.0,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,4,BIHS households,Round 3 (2018-19)
5,5.0,9.0,6.0,2.0,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,5,BIHS households,Round 3 (2018-19)
6,6.0,9.0,19.0,2.0,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,6,BIHS households,Round 3 (2018-19)
7,7.0,9.0,48.0,2.0,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,7,BIHS households,Round 3 (2018-19)
8,8.0,9.0,33.0,2.0,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,8,BIHS households,Round 3 (2018-19)
9,9.0,15.0,59.0,2.0,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,9,BIHS households,Round 3 (2018-19)
10,10.1,14.0,41.0,4.0,Yes,1,81.0,5.0,35.0,13.0,HSC/Alim,HSC/Alim,HSC/Alim,HSC/Alim,20.0,SSC/ Dakhil,Completed class V,Yes,Share cropper/tenant,Yes,2.0,0.0,0.0,52000.0,0.0,100001.0,0.0,100000.0,0.0,Not applicable; she was married after turning 18,,,14.0,53.0,,10.1,BIHS households,Round 3 (2018-19)
11,10.2,13.0,21.0,4.0,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,10.2,BIHS households,Round 3 (2018-19)
12,11.1,8.0,52.0,2.0,Yes,1,81.0,5.0,25.0,13.0,Completed class IX,Completed class IX,SSC/ Dakhil,SSC/ Dakhil,16.0,Completed class II,Never attended school,Yes,Working own farm (crop),Yes,2.0,2.0,0.0,0.0,8000.0,75000.0,0.0,15000.0,0.0,"If the girl gets more education, it will be difficult to fin",,,8.0,55.0,,11.1,BIHS households,Round 3 (2018-19)
13,11.2,13.0,58.0,7.0,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,11.2,BIHS households,Round 3 (2018-19)
14,11.3,9.0,6.0,6.0,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,11.3,BIHS households,Round 3 (2018-19)
15,12.0,10.0,4.0,2.0,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,12,BIHS households,Round 3 (2018-19)
16,13.0,9.0,35.0,2.0,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,13,BIHS households,Round 3 (2018-19)
17,14.0,11.0,1.0,2.0,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,14,BIHS households,Round 3 (2018-19)
18,15.0,9.0,36.0,2.0,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,15,BIHS households,Round 3 (2018-19)
19,16.1,9.0,26.0,2.0,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,16.1,BIHS households,Round 3 (2018-19)
20,16.2,9.0,18.0,5.0,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,16.2,BIHS households,Round 3 (2018-19)
21,17.0,9.0,20.0,2.0,Yes,1,81.0,3.0,19.0,12.0,SSC/ Dakhil,SSC/ Dakhil,Completed class VI,Completed class VI,17.0,Never attended school,Completed class V,Yes,Share cropper/tenant,Yes,1.0,1.0,40000.0,7000.0,10000.0,50000.0,0.0,1200.0,6500.0,Not applicable; she was married after turning 18,,,9.0,26.0,,17,BIHS households,Round 3 (2018-19)
22,18.1,10.0,6.0,5.0,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,18.1,BIHS households,Round 3 (2018-19)
23,18.2,9.0,32.0,7.0,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,18.2,BIHS households,Round 3 (2018-19)
24,19.0,9.0,35.0,5.0,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,19,BIHS households,Round 3 (2018-19)
25,21.0,8.0,58.0,2.0,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,21,BIHS and additional hhs for FTF,Round 3 (2018-19)
26,22.0,14.0,49.0,1.0,Yes,1,81.0,2.0,16.0,13.0,Completed class VIII,Completed class VIII,Completed class VIII,Completed class VIII,13.0,Never attended school,Never attended school,No,,Yes,1.0,0.0,0.0,100000.0,15000.0,200000.0,0.0,800.0,4000.0,The girl herself wanted to marry,,,14.0,59.0,,22,BIHS and additional hhs for FTF,Round 3 (2018-19)
27,23.0,8.0,25.0,2.0,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,23,BIHS and additional hhs for FTF,Round 3 (2018-19)
28,24.0,8.0,25.0,1.0,Yes,1,81.0,2.0,26.0,13.0,HSC/Alim,HSC/Alim,Completed class V,Completed class V,19.0,Completed class III,Never attended school,No,,Yes,1.0,2.0,30000.0,8000.0,7000.0,50000.0,0.0,18000.0,4000.0,The girl herself wanted to marry,Not applicable; she was married after turning 18,,8.0,26.0,,24,BIHS and additional hhs for FTF,Round 3 (2018-19)
29,26.0,8.0,39.0,5.0,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,41.0,,26,BIHS and additional hhs for FTF,Round 3 (2018-19)
30,27.0,9.0,16.0,2.0,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,17.0,,27,BIHS and additional hhs for FTF,Round 3 (2018-19)
31,28.0,8.0,41.0,2.0,Yes,1,81.0,4.0,22.0,14.0,Completed class VI,Completed class VI,Completed class IX,Completed class IX,15.0,Completed class II,Completed class IV,Yes,Driver of motor vehicle,Yes,1.0,2.0,0.0,14800.0,35000.0,80000.0,0.0,100000.0,20000.0,Thought the groom was very good and they might not get such,,,8.0,4.0,,28,BIHS and additional hhs for FTF,Round 3 (2018-19)
32,29.0,8.0,52.0,2.0,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,53.0,,29,BIHS and additional hhs for FTF,Round 3 (2018-19)
33,30.1,8.0,38.0,2.0,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,42.0,,30.1,BIHS and additional hhs for FTF,Round 3 (2018-19)
34,30.2,8.0,35.0,5.0,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,36.0,,30.2,BIHS and additional hhs for FTF,Round 3 (2018-19)
35,31.0,8.0,36.0,4.0,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,37.0,,31,BIHS and additional hhs for FTF,Round 3 (2018-19)
