,a01,stime_h_xxb,stime_m_xxb,xxb_mid,xxb_01,xxb_02,xxb_03,xxb_04,xxb_05,xxb_06,xxb_07,xxb_08,xxb_09,xxb_10,xxb_11,xxb_12,xxb_13,xxb_14,xxb_15a,xxb_15b,xxb_15c,xxb_16,xxb_17a,xxb_17b,xxb_17c,xxb_18a,xxb_18b,xxb_18c,etime_h_xxb,etime_m_xxb,flag,hhid2,hh_type,round
0,1.0,9.0,25.0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,1,BIHS households,Round 3 (2018-19)
1,2.0,14.0,7.0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,2,BIHS households,Round 3 (2018-19)
2,3.1,9.0,13.0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,3.1,BIHS households,Round 3 (2018-19)
3,3.2,9.0,49.0,4,20.0,13.0,Completed class IX,Completed class IX,Completed class IV,Completed class IV,18.0,Completed class VI,Completed class IV,Yes,Raising fish / fish pond,Yes,0.0,1.0,0.0,9000.0,5000.0,40000.0,0.0,0.0,5000.0,Not applicable; she was married after turning 18,,,9.0,53.0,,3.2,BIHS households,Round 3 (2018-19)
4,4.0,9.0,41.0,5,30.0,11.0,Completed class VII,Completed class VII,Never attended school,Never attended school,19.0,Never attended school,Completed class VI,Yes,Working own farm (crop),Yes,1.0,0.0,0.0,60000.0,50000.0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable; she was married after turning 18,,,9.0,48.0,,4,BIHS households,Round 3 (2018-19)
5,5.0,9.0,9.0,3,30.0,13.0,HSC/Alim,HSC/Alim,MA/MSC and above Kamil,MA/MSC and above Kamil,24.0,BA/BSC Pass/Fazil,Completed class IX,Yes,Working own farm (crop),Yes,1.0,2.0,0.0,40000.0,0.0,2500000.0,0.0,30000.0,0.0,Not applicable; she was married after turning 18,,,9.0,18.0,,5,BIHS households,Round 3 (2018-19)
6,6.0,9.0,21.0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,6,BIHS households,Round 3 (2018-19)
7,7.0,9.0,49.0,2,31.0,15.0,HSC/Alim,HSC/Alim,SSC/ Dakhil,SSC/ Dakhil,19.0,Completed class IX,Completed class IX,Yes,Working own farm (crop),Yes,2.0,0.0,0.0,15000.0,90000.0,100000.0,0.0,200000.0,0.0,Not applicable; she was married after turning 18,,,9.0,52.0,,7,BIHS households,Round 3 (2018-19)
8,8.0,9.0,35.0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,8,BIHS households,Round 3 (2018-19)
9,9.0,16.0,2.0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,9,BIHS households,Round 3 (2018-19)
10,10.1,14.0,55.0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,10.1,BIHS households,Round 3 (2018-19)
11,10.2,13.0,23.0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,10.2,BIHS households,Round 3 (2018-19)
12,11.1,8.0,56.0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,11.1,BIHS households,Round 3 (2018-19)
13,11.2,13.0,59.0,7,20.0,12.0,Completed class IX,Completed class IX,Completed class IV,Completed class IV,17.0,Never attended school,Completed class V,Yes,Working own farm (crop),Yes,0.0,4.0,0.0,0.0,25000.0,50000.0,20000.0,0.0,0.0,The girl herself wanted to marry,,,15.0,15.0,,11.2,BIHS households,Round 3 (2018-19)
14,11.3,9.0,8.0,6,29.0,13.0,Completed class VII,Completed class VII,Completed class IV,Completed class IV,16.0,Never attended school,Completed class IV,No,,Yes,0.0,0.0,0.0,15000.0,0.0,50000.0,0.0,1000.0,3000.0,"Economic condition was poor to support her (food, education,",,,9.0,13.0,,11.3,BIHS households,Round 3 (2018-19)
15,12.0,10.0,5.0,2,31.0,12.0,Completed class IX,Completed class IX,Completed class VIII,Completed class VIII,18.0,Never attended school,Never attended school,Yes,Working own farm (crop),Yes,2.0,1.0,0.0,1900.0,1000.0,25000.0,0.0,500.0,4000.0,Not applicable; she was married after turning 18,,,10.0,11.0,,12,BIHS households,Round 3 (2018-19)
16,13.0,9.0,36.0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,13,BIHS households,Round 3 (2018-19)
17,14.0,11.0,2.0,11,30.0,13.0,HSC/Alim,HSC/Alim,Completed class IX,Completed class IX,17.0,Never attended school,Never attended school,Yes,Service (private sector ),Yes,1.0,1.0,0.0,2300.0,9000.0,100000.0,0.0,100000.0,0.0,Marriage proposals were coming for her,,,11.0,17.0,,14,BIHS households,Round 3 (2018-19)
18,15.0,9.0,49.0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,15,BIHS households,Round 3 (2018-19)
19,16.1,9.0,28.0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,16.1,BIHS households,Round 3 (2018-19)
20,16.2,9.0,19.0,5,29.0,14.0,Completed class IX,Completed class IX,Completed class VII,Completed class VII,19.0,Completed class II,Never attended school,Yes,Working own farm (crop),Yes,1.0,2.0,20000.0,0.0,1000.0,100000.0,30000.0,0.0,0.0,Not applicable; she was married after turning 18,,,9.0,23.0,,16.2,BIHS households,Round 3 (2018-19)
21,17.0,9.0,28.0,5,18.0,12.0,SSC/ Dakhil,SSC/ Dakhil,SSC/ Dakhil,SSC/ Dakhil,16.0,Completed class V,Completed class VIII,Yes,Working own farm (crop),Yes,0.0,2.0,0.0,14000.0,0.0,75000.0,0.0,1000.0,7000.0,Marriage proposals were coming for her,,,9.0,35.0,,17,BIHS households,Round 3 (2018-19)
22,18.1,10.0,8.0,5,20.0,14.0,Completed class IX,Completed class IX,Completed class IX,Completed class IX,15.0,SSC/ Dakhil,Completed class IV,Yes,Working own farm (crop),Yes,1.0,0.0,0.0,16000.0,2500.0,100000.0,0.0,20000.0,20000.0,Marriage proposals were coming for her,,,10.0,14.0,,18.1,BIHS households,Round 3 (2018-19)
23,18.2,9.0,34.0,7,27.0,13.0,SSC/ Dakhil,SSC/ Dakhil,Completed class IX,Completed class IX,19.0,Completed class IX,Completed class VIII,Yes,Working own farm (crop),Yes,0.0,2.0,0.0,0.0,0.0,150000.0,0.0,13000.0,500.0,Not applicable; she was married after turning 18,,,9.0,43.0,,18.2,BIHS households,Round 3 (2018-19)
24,19.0,9.0,37.0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,19,BIHS households,Round 3 (2018-19)
